Instalación;Nombre;NAE;Instalación de origen;Compañía;Fecha prioritaria;Nro OC;Producto;Artic Padre;Cod Alternat;Cod Barra Produc;Descripcion;Nro LPN;Estado de LPN;Ubicacion;Cantidad enviada de detalle de envío de entrada;Cantidad recibida de detalle de envío de entrada;Cantidad de recepción previa;Peso de LPN;Volumen de LPN;Atributo A;Atributo B;Nro de Guía;Atributo D;Atributo E;Atributo F;Carta?;Cant x Pack Est;Cant x MP Est;Tipo Almac;LPN es una paleta;Nro de lote;Estado;LPN enviadas originales;Unidades enviadas originales;Nro LPN;Recuento de LPN recibidas;Cantidad enviada de cabecera de envío de entrada;Cantidad recibida de cabecera de envío de entrada;Porcentaje de recepción;Número de artículos;Nombre de proveedor;Número de Factura;Nro de Cita;Número de muelle;Registro de hora de creación de cabecera;Fecha de envío;Hora de recepción de primera LPN;Hora de recepción de última LPN;Registro de hora de modificación de cabecera;Hora de verificación;Usuario de modificación de cabecera;Informacion de origen;Tipo de muelle;Tipo ASN;Nro Carga;Placa camión;Bloquear;Información de proveedor;Local origen;ASN Hdr Campo Pers 2;Nro de Devolución (RF);Cod Prov Dev;N de Sitio;Usuario de recepción;hierarchy1code;Jerarquía de artículo 1;hierarchy2code;Jerarq;hierarchy3code;Jerarquía de artículo 3;hierarchy4code;Jerarquía de artículo 4;hierarchy5code;Jerarquía de artículo 5;Brand Code;Sitio Prov;Nro de Guía de CD origen;Campo custom 3 DTL de ASN;Politica de Devolucion;Nombre Proveedor;Fecha de caducidad;Destino de gastos
B100;B100;SHB10000271875;;FARMACORP;;;="7840213253045";False;="7840213253045";="7840213253045";AMLOTENS 5MG X 30 COMP  AMLODIPINA;CSB10009772509;Ubicado;PEA106-12-00-00;90;90;0;353.16;0;;;;;;;;30;10500;CNF;False;Prueba;Verificado;1;0;1;1;90;90;100;1;;="0";APB100010447;PE12;24/04/2026 17:19:30;24/04/2026;29/04/2026 10:15:33;29/04/2026 10:15:33;29/04/2026 10:16:10;29/04/2026 10:16:10;bortiza;CDS;GEN / GENERICA;RF;LSHB10000259651;;;IMPORTADORA FARMACEUTICA QUIMFA BOLIVIA SOCIEDAD ANONIMA;;;ORRDP26FEB181613;="001392";QUIMFA;abrunat;="105";105 - MEDICAMENTO MARCA CRONICO;="022";105 - 022 - MEDICAMENTO MARCA CRONICO;;;;;;;;;;;;;08/04/2027;False
B100;B100;SHB10000271889;;FARMACORP;;;="7840213035818";False;="7840213035818";="7840213035818";METIOGEN 500MG X 30 CAP METFORMINA;CSB10009772290;Ubicado;PEA106-12-00-00;30;30;0;227.25;0;;;;;;;;30;4500;CNF;False;Prueba;Verificado;1;0;1;1;30;30;100;1;;="0";APB100010447;PE12;24/04/2026 15:50:38;24/04/2026;29/04/2026 10:14:02;29/04/2026 10:14:02;29/04/2026 13:24:19;29/04/2026 13:24:19;mlimpias.rec;CDS;GEN / GENERICA;RF;LSHB10000259651;;;IMPORTADORA FARMACEUTICA QUIMFA BOLIVIA SOCIEDAD ANONIMA;;;ORRDP25NOV174767;="001392";QUIMFA;abrunat;="105";105 - MEDICAMENTO MARCA CRONICO;="022";105 - 022 - MEDICAMENTO MARCA CRONICO;;;;;;;;;;;;;01/04/2027;False
B100;B100;SHB10000271707;;FARMACORP;;;="008727000075";False;="008727000075";="008727000075";SEA BAND ADULTO X 2 MANILLAS (ALIVIO DE LA NAUSEA)(DESC);CSB10009767863;Consumido;;1;1;0;1;0;;;;;;;;1;144;CD;False;SL23042026;Verificado;2;0;2;2;2;2;100;2;;="0";APB100010447;PE12;23/04/2026 17:06:26;23/04/2026;23/04/2026 17:45:41;23/04/2026 17:46:25;23/04/2026 18:22:59;23/04/2026 18:22:59;jpecho.rec;CDS;GEN / GENERICA;RF;LSHB10000259651;;;RAICES IMPORT EXPORT LTDA.;;;ORRDP26MAR186317;="000192";RAICES;fmamani.rec;="202";202 - ACCESORIOS;="101";202 - 101 - ACCESORIOS DRUGSTORE;;;;;;;;;;;;;01/04/2028;False
B100;B100;SHB10000271707;;FARMACORP;;;="008727000211";False;="008727000211";="008727000211";SEA BAND NINO X 2 MANILLAS (ALIVIO DE LA NAUSEA)(DESC);CSB10009767862;Consumido;;1;1;0;1;0;;;;;;;;1;144;CD;False;SL23042026;Verificado;2;0;2;2;2;2;100;2;;="0";APB100010447;PE12;23/04/2026 17:06:26;23/04/2026;23/04/2026 17:45:41;23/04/2026 17:46:25;23/04/2026 18:22:59;23/04/2026 18:22:59;jpecho.rec;CDS;GEN / GENERICA;RF;LSHB10000259651;;;RAICES IMPORT EXPORT LTDA.;;;ORRDP26MAR186317;="000192";RAICES;fmamani.rec;="202";202 - ACCESORIOS;="101";202 - 101 - ACCESORIOS DRUGSTORE;;;;;;;;;;;;;01/04/2028;False
B100;B100;SHB10000271719;;FARMACORP;;;="7770108267577";False;="7770108267577";="7770108267577";NO-GAS 100MG/ML GOTAS X 15ML SIMETICONA;CSB10009767769;Asignado;RP3-04-06-04-03;1;1;0;104.652;0;;;;;;;;3;50;CNF;False;="7811";Verificado;2;0;2;2;2;2;100;2;;="0";APB100010447;PE12;23/04/2026 16:58:07;23/04/2026;23/04/2026 17:43:29;23/04/2026 17:44:01;23/04/2026 18:22:59;23/04/2026 18:22:59;jpecho.rec;CDS;GEN / GENERICA;RF;LSHB10000259651;;;COFAR S.A.;;;ORRDP26MAR184868;="000754";COFAR;fmamani.rec;="103";103 - MEDICAMENTO MARCA AGUDO;="020";103 - 020 - MEDICAMENTO MARCA AGUDO;;;;;;;;;;;;;01/11/2027;False
B100;B100;SHB10000271719;;FARMACORP;;;="7770108260882";False;="7770108260882";="7770108260882";DEXTROMETORFANO 10MG/5ML JBE X 100ML (COFAR);CSB10009767768;Asignado;RP3-02-02-03-04;1;1;0;322.92;0;;;;;;;;4;100;CNF;False;="7319";Verificado;2;0;2;2;2;2;100;2;;="0";APB100010447;PE12;23/04/2026 16:58:07;23/04/2026;23/04/2026 17:43:29;23/04/2026 17:44:01;23/04/2026 18:22:59;23/04/2026 18:22:59;jpecho.rec;CDS;GEN / GENERICA;RF;LSHB10000259651;;;COFAR S.A.;;;ORRDP26MAR184868;="000754";COFAR;fmamani.rec;="101";101 - MEDICAMENTO MISCELLANEOUS;="011";101 - 011 - MEDICAMENTO GENERICO;;;;;;;;;;;;;01/11/2029;False
B100;B100;SHB10000271421;;FARMACORP;;;="188469";False;="188469";="7770108120322";BAMMOX 1000/250MG SUSP X60ML AMOXICILINA/SULBACTAM;CSB10009759073;Parcialmente asignado;RP2-07-05-04-05;4;4;0;4;0;;;;;;;;1;1;CNF;False;="2425";Verificado;0;0;3;3;486;486;100;3;;="0";APB100010447;PE12;21/04/2026 12:39:47;21/04/2026;23/04/2026 13:06:13;23/04/2026 13:10:52;23/04/2026 18:25:39;23/04/2026 18:25:39;jpecho.rec;CDS;GEN / GENERICA;RF;LSHB10000259651;;;;;;LABORATORIOS FARMACEUTICOS LAFAR S.A.;="000137";LAFAR;fmamani.rec;="103";103 - MEDICAMENTO MARCA AGUDO;="020";103 - 020 - MEDICAMENTO MARCA AGUDO;;;;;;;;;;;;;01/09/2029;False
B100;B100;SHB10000271421;;FARMACORP;;;="7770108671213";False;="7770108671213";="7770108671213";PLUSAN 40MG X 30 CAP PANTOPRAZOL;CSB10009759075;Ubicado;RP2-06-06-05-08;480;480;0;2280;0;;;;;;;;30;1;CNF;False;="48125";Verificado;0;0;3;3;486;486;100;3;;="0";APB100010447;PE12;21/04/2026 12:39:47;21/04/2026;23/04/2026 13:06:13;23/04/2026 13:10:52;23/04/2026 18:25:39;23/04/2026 18:25:39;jpecho.rec;CDS;GEN / GENERICA;RF;LSHB10000259651;;;;;;LABORATORIOS FARMACEUTICOS LAFAR S.A.;="000137";LAFAR;fmamani.rec;="104";104 - MEDICAMENTO MARCA TRATAMIENTO;="021";104 - 021 - MEDICAMENTO MARCA TRATAMIENTO;;;;;;;;;;;;;01/01/2028;False
B100;B100;SHB10000271421;;FARMACORP;;;="188529";False;="188529";="188529";AMOXILANICO DUO 500/125MG SUSP X80ML AMOXIC/CLAVUL;CSB10009759074;Consumido;;2;2;0;948.75;0;;;;;;;;1;1;CNF;False;="9025";Verificado;0;0;3;3;486;486;100;3;;="0";APB100010447;PE12;21/04/2026 12:39:47;21/04/2026;23/04/2026 13:06:13;23/04/2026 13:10:52;23/04/2026 18:25:39;23/04/2026 18:25:39;jpecho.rec;CDS;GEN / GENERICA;RF;LSHB10000259651;;;;;;LABORATORIOS FARMACEUTICOS LAFAR S.A.;="000137";LAFAR;fmamani.rec;="103";103 - MEDICAMENTO MARCA AGUDO;="020";103 - 020 - MEDICAMENTO MARCA AGUDO;;;;;;;;;;;;;01/03/2028;False
B100;B100;SHB10000271418;;FARMACORP;;;="7862114722758";False;="7862114722758";="7862114720662";KUFER-Q CIRRO 3000MG X10 SOBRES ORNITINA ASPARTATO;CSB10009759059;Asignado;RP1-02-02-03-04;280;280;0;10558.128;0;;;;;;;;10;1;CNF;False;4126E;Verificado;1;0;1;1;280;280;100;1;;="0";APB100010447;PE12;21/04/2026 11:52:17;21/04/2026;23/04/2026 13:12:02;23/04/2026 13:12:02;23/04/2026 18:25:39;23/04/2026 18:25:39;jpecho.rec;CDS;GEN / GENERICA;RF;LSHB10000259651;;;OSCAR DANIEL PAZ LOPEZ;;;ORRDP25AGO164682;="002428";CENTRAL;fmamani.rec;="104";104 - MEDICAMENTO MARCA TRATAMIENTO;="021";104 - 021 - MEDICAMENTO MARCA TRATAMIENTO;;;;;;;;;;;;;01/02/2028;False
