Código de instalación;Código de compañía;Cod Alternat;Códigos Calculados;Artic Padre;Cod Pre-pack;Ratio de preempacado;Unidades de empacado;Cod EAN Prod;Parte b;Parte c;Parte d;Parte e;Parte f;Total de LPN de salida;Total Act;Activa asignada;Activa disponible;Total de LPN de entrada;LPN de entrada asignada;LPN de entrada disponible;LPN de entrada sin verificar;Total asignado;Total disponible;Total de inventario;Resumen de inventario interno;Unidades secundarias de resumen de inventario interno;Cantidad de orden abierta
B100;FARMACORP;="0036000138412";="0036000138412";False;;0;0;="0036000138412";;;;;;0;0;0;0;35;2;33;0;2;33;35;35;35;0
B100;FARMACORP;="0041554197044";="0041554197044";False;;0;0;="0041554197044";;;;;;0;0;0;0;3;0;3;0;0;3;3;3;3;0
B100;FARMACORP;="00610075793006";="00610075793006";False;;0;0;="00610075793006";;;;;;0;0;0;0;3;0;3;0;0;3;3;3;3;0
B100;FARMACORP;="00707387444402";="00707387444402";False;;0;0;="00707387444402";;;;;;0;0;0;0;5;3;2;0;3;2;5;5;5;0
B100;FARMACORP;="008727000075";="008727000075";False;;0;0;="008727000075";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="008727000211";="008727000211";False;;0;0;="008727000211";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="010070738743590";="010070738743590";False;;0;0;="010070738743590";;;;;;0;0;0;0;27;2;25;0;2;25;27;27;27;0
B100;FARMACORP;="01018109";="01018109";False;;0;0;="01018109";;;;;;48;0;0;0;252;16;236;0;16;236;252;300;300;0
B100;FARMACORP;="01018209";="01018209";False;;0;0;="01018209";;;;;;25;0;0;0;213;0;213;0;0;213;213;238;238;0
B100;FARMACORP;="01018609";="01018609";False;;0;0;="01018609";;;;;;13;0;0;0;161;4;157;0;4;157;161;174;174;0
B100;FARMACORP;="010404696395878";="010404696395878";False;;0;0;="010404696395878";;;;;;0;0;0;0;55;0;55;0;0;55;55;55;55;0
B100;FARMACORP;="010900000857";="010900000857";False;;0;0;="010900000857";;;;;;0;0;0;0;6;6;0;0;6;0;6;6;6;4
B100;FARMACORP;="010900302814";="010900302814";False;;0;0;="010900302814";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="0110067";="0110067";False;;0;0;="0110067";;;;;;0;0;0;0;43;4;39;0;4;39;43;43;43;0
B100;FARMACORP;="0110070";="0110070";False;;0;0;="0110070";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="011210000018";="011210000018";False;;0;0;="011210000018";;;;;;0;0;0;0;17;16;1;0;16;1;17;17;17;0
B100;FARMACORP;="011210000155";="011210000155";False;;0;0;="011210000155";;;;;;0;0;0;0;11;4;7;0;4;7;11;11;11;0
B100;FARMACORP;="011210697003";="011210697003";False;;0;0;="011210697003";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="0123456789012";="0123456789012";False;;0;0;="0123456789012";;;;;;0;0;0;0;7;0;7;0;0;7;7;7;7;0
B100;FARMACORP;="012546671231";="012546671231";False;;0;0;="012546671231";;;;;;0;0;0;0;9129;20;9109;0;20;9109;9129;9129;9129;0
B100;FARMACORP;="012800180936";="012800180936";False;;0;0;="012800180936";;;;;;0;0;0;0;30;4;26;0;4;26;30;30;30;6
B100;FARMACORP;="012800198443";="012800198443";False;;0;0;="012800198443";;;;;;0;0;0;0;2;0;2;0;0;2;2;2;2;0
B100;FARMACORP;="01321207";="01321207";False;;0;0;="01321207";;;;;;0;0;0;0;20;4;16;0;4;16;20;20;20;0
B100;FARMACORP;="020800307642";="020800307642";False;;0;0;="020800307642";;;;;;0;0;0;0;26;5;21;0;5;21;26;26;26;4
B100;FARMACORP;="021000026876";="021000026876";False;;0;0;="021000026876";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="021000658978";="021000658978";False;;0;0;="021000658978";;;;;;0;0;0;0;12;8;4;0;8;4;12;12;12;0
B100;FARMACORP;="022000159311";="022000159311";False;;0;0;="022000159311";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="022000159335";="022000159335";False;;0;0;="022000159335";;;;;;0;0;0;0;2;0;2;0;0;2;2;2;2;0
B100;FARMACORP;="022000159342";="022000159342";False;;0;0;="022000159342";;;;;;0;0;0;0;3;0;3;0;0;3;3;3;3;0
B100;FARMACORP;="022110079806";="022110079806";False;;0;0;="022110079806";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="022796642011";="022796642011";False;;0;0;="022796642011";;;;;;0;0;0;0;9;1;8;0;1;8;9;9;9;0
B100;FARMACORP;="022796916129";="022796916129";False;;0;0;="022796916129";;;;;;8;0;0;0;84;1;83;0;1;83;84;92;92;0
B100;FARMACORP;="022796916716";="022796916716";False;;0;0;="022796916716";;;;;;4;0;0;0;164;28;136;0;28;136;164;168;168;4
B100;FARMACORP;="02283801";="02283801";False;;0;0;="02283801";;;;;;0;0;0;0;2;0;2;0;0;2;2;2;2;0
B100;FARMACORP;="02289902";="02289902";False;;0;0;="02289902";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="026851871071";="026851871071";False;;0;0;="026851871071";;;;;;0;0;0;0;13;4;9;0;4;9;13;13;13;0
B100;FARMACORP;="026851871088";="026851871088";False;;0;0;="026851871088";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="026964453188";="026964453188";False;;0;0;="026964453188";;;;;;0;0;0;0;2;0;2;0;0;2;2;2;2;0
B100;FARMACORP;="027084120134";="027084120134";False;;0;0;="027084120134";;;;;;0;0;0;0;24;0;22;0;0;22;24;24;24;0
B100;FARMACORP;="0300651431520";="0300651431520";False;;0;0;="0300651431520";;;;;;0;0;0;0;21;8;13;0;8;13;21;21;21;4
B100;FARMACORP;="0300651433326";="0300651433326";False;;0;0;="0300651433326";;;;;;0;0;0;0;2;0;2;0;0;2;2;2;2;0
B100;FARMACORP;="0300652510095";="0300652510095";False;;0;0;="0300652510095";;;;;;0;0;0;0;4;1;3;0;1;3;4;4;4;0
B100;FARMACORP;="03031500311423";="03031500311423";False;;0;0;="03031500311423";;;;;;0;0;0;0;15;0;15;0;0;15;15;15;15;0
B100;FARMACORP;="03401347818100";="03401347818100";False;;0;0;="03401347818100";;;;;;0;0;0;0;25;0;25;0;0;25;25;25;25;0
B100;FARMACORP;="03401360147751";="03401360147751";False;;0;0;="03401360147751";;;;;;0;0;0;0;72;0;72;0;0;72;72;72;72;0
